City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti International Resort
4,Rikitea,PF,74.91,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
5,Hithadhoo,MV,82.69,light rain,-0.6,73.0833,Pebbles Inn
18,Tual,ID,83.53,broken clouds,-5.6667,132.75,Suita
23,Cidreira,BR,71.51,overcast clouds,-30.1811,-50.2056,Hotel Castelo
42,Betioky,MG,71.19,few clouds,-23.7167,44.3833,Hotel Salema
51,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
52,Nacala,MZ,75.99,few clouds,-14.5428,40.6728,Indico Apart Hotel 2
61,Devarkonda,IN,71.64,broken clouds,16.7,78.9333,udipi hotel
62,Brasileia,BR,72.21,overcast clouds,-11.0161,-68.7481,Pousada Azeveda
65,Hambantota,LK,73.74,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
67,Kavieng,PG,80.4,overcast clouds,-2.5744,150.7967,Kavieng Hotel
70,Cayenne,GF,73.44,broken clouds,4.9333,-52.3333,Central Hôtel
76,Moron,AR,73.09,clear sky,-34.6534,-58.6198,La Esquina
79,Kalmunai,LK,77.85,broken clouds,7.4167,81.8167,Saji new food
80,Acapulco,MX,79.07,clear sky,16.8634,-99.8901,Hotel del Valle
84,Luang Prabang,LA,71.56,mist,19.8856,102.1347,Amantaka
86,Hilo,US,80.28,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
91,Kapaa,US,82.72,clear sky,22.0752,-159.319,Pono Kai Resort
92,Puerto Escondido,MX,78.66,clear sky,15.85,-97.0667,Hotel Barlovento
94,Atuona,PF,77.67,light rain,-9.8,-139.0333,Pearl Resort
95,Formosa,AR,78.78,clear sky,-26.1775,-58.1781,Hotel Hostal del Rey
98,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
104,Sungaipenuh,ID,72.25,heavy intensity rain,-2.0833,101.3833,Hotel Matahari
106,Praya,CV,70.34,few clouds,14.9215,-23.5087,Casa Sodadi
108,Lindi,TZ,73.85,broken clouds,-10.0,39.7167,Baraka inn
110,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,Le Baril
114,Puerto Ayacucho,VE,74.64,scattered clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
118,Rio Cuarto,AR,74.97,clear sky,-33.1307,-64.3499,Marluc
120,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Grand Bel Air
121,Saint-Paul,RE,75.31,clear sky,-21.0096,55.2707,Hôtel d'application
124,Inhambane,MZ,75.22,light rain,-23.865,35.3833,Hotel de Inhambane
126,Sibolga,ID,76.75,overcast clouds,1.7427,98.7792,Hotel Prima Indah
127,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue
130,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
137,Isangel,VU,84.34,overcast clouds,-19.55,169.2667,Tanna Lodge
139,Piacabucu,BR,75.56,overcast clouds,-10.4056,-36.4344,O Leão
141,Christchurch,NZ,78.48,broken clouds,-43.5333,172.6333,Ibis Hotel Christchurch
152,Isla Mujeres,MX,75.25,light rain,21.2311,-86.731,Villa La Bella
159,Victoria,HK,70.32,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
166,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Comfort Rooms
170,Cordoba,AR,79.18,clear sky,-31.4135,-64.1811,Hotel Garden
179,Galle,LK,76.82,overcast clouds,6.0367,80.217,Jungle Hostel Villa
181,Takoradi,GH,77.31,overcast clouds,4.8845,-1.7554,Hillcrest
197,Sao Filipe,CV,71.74,overcast clouds,14.8961,-24.4956,Bela Vista
199,Touros,BR,78.37,clear sky,-5.1989,-35.4608,Pousada Atlântico
201,Marsh Harbour,BS,75.34,clear sky,26.5412,-77.0636,Lofty Fig Villas
204,Batemans Bay,AU,70.11,clear sky,-35.7167,150.1833,Esplanade Hotel
212,Georgetown,MY,80.53,mist,5.4112,100.3354,Page 63 hostel
216,Sur,OM,72.3,clear sky,22.5667,59.5289,Sur Hotel
220,Cap Malheureux,MU,72.46,few clouds,-19.9842,57.6142,Cape Garden
223,Salalah,OM,71.69,clear sky,17.0151,54.0924,Muscat International Hotel
229,Namatanai,PG,85.57,overcast clouds,-3.6667,152.4333,Namatanai Hotel
233,Grand Baie,MU,73.87,clear sky,-20.0182,57.5802,Safari
237,San Juan Del Sur,NI,77.83,clear sky,11.2529,-85.8705,Hotel Colonial
241,Abu Dhabi,AE,71.62,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
242,Rawson,AR,70.2,scattered clouds,-43.3002,-65.1023,Hotel Deportivo
246,Nuevitas,CU,77.9,overcast clouds,21.5453,-77.2644,Hotel Caonaba
248,Mandaguacu,BR,78.4,thunderstorm with light rain,-23.3472,-52.0953,Comaq hotel
251,Namibe,AO,70.14,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
254,Fare,PF,80.85,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
265,Langsa,ID,80.13,overcast clouds,4.4683,97.9683,Harmoni Hotel
267,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
268,Noumea,NC,80.58,moderate rain,-22.2763,166.4572,Hotel Gondwana
271,Sao Gabriel Da Cachoeira,BR,72.73,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
274,Pemangkat,ID,81.55,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
277,Bang Saphan,TH,79.27,heavy intensity rain,11.2126,99.5117,Hotel
283,Vila Velha,BR,71.94,overcast clouds,-20.3297,-40.2925,Hotel Prainha
291,Yeppoon,AU,78.58,few clouds,-23.1333,150.7333,Blossom's on Seaspray
292,Mareeba,AU,86.43,clear sky,-17.0,145.4333,The Gateway Hotel
293,Goya,AR,73.67,few clouds,-29.14,-59.2626,Hotel Residencial Taragui
297,Naze,JP,72.52,broken clouds,28.3667,129.4833,ビジネス旅館畠山
302,Tucuman,AR,75.2,clear sky,-26.8241,-65.2226,Suites San Luis
305,Ambanja,MG,73.72,light rain,-13.6833,48.45,Hôtel Salama Rose
309,Puerto Narino,CO,73.72,overcast clouds,-3.7703,-70.3831,Eco Hotel Euare
313,Larap,PH,81.57,broken clouds,14.299,122.6504,Hotel Bienvinido
315,Matara,LK,76.33,overcast clouds,5.9485,80.5353,Villa Palm Breeze
317,Port Lincoln,AU,74.5,broken clouds,-34.7333,135.8667,Boston Hotel
322,Bosaso,SO,72.84,clear sky,11.2842,49.1816,Bosaso hotel
325,Meulaboh,ID,78.44,overcast clouds,4.1363,96.1285,Hotel Meuligou
328,Koumac,NC,79.79,light rain,-20.5667,164.2833,Monitel Koumac
330,Porto Belo,BR,76.95,overcast clouds,-27.1578,-48.5531,Residencial Maravilha
333,Tonantins,BR,72.73,moderate rain,-2.8731,-67.8022,Red Davi
344,Foso,GH,72.23,broken clouds,5.7012,-1.2866,Even Me Hotel
346,Lahaina,US,82.4,scattered clouds,20.8783,-156.6825,Best Western Pioneer Inn
349,Tainan,TW,78.58,haze,22.9908,120.2133,光華商務飯店
355,Itarema,BR,79.5,few clouds,-2.9248,-39.9167,Pousada Oásis
356,Padang,ID,73.45,moderate rain,-0.9492,100.3543,losmen Surya
359,Ulladulla,AU,74.62,clear sky,-35.35,150.4667,Hotel Marlin
361,Maceio,BR,74.64,few clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
365,Praia,CV,70.34,few clouds,14.9215,-23.5087,Casa Sodadi
366,Malbug,PH,87.26,broken clouds,9.7327,123.3402,D Alegre Travellers Inn
367,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Residencial Jardins De Maio
369,Uruguaiana,BR,71.53,scattered clouds,-29.7547,-57.0883,Casa Branca
376,Tarakan,ID,80.62,overcast clouds,3.3,117.6333,Hotel Dynasty
380,Gorontalo,ID,84.88,overcast clouds,0.5412,123.0595,Grand City Hotel
390,Honiara,SB,82.26,overcast clouds,-9.4333,159.95,King Solomon Hotel
391,Machilipatnam,IN,76.8,clear sky,16.1667,81.1333,Apsara Boarding and Lodging Hotel
392,Mount Gambier,AU,86.25,overcast clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
397,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
399,Luganville,VU,87.17,overcast clouds,-15.5333,167.1667,Beachfront Resort
402,Monte Patria,CL,71.31,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
406,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,The Abidah By Accra
411,Sabang,ID,80.91,moderate rain,5.8933,95.3214,Sabang Hill
413,Faanui,PF,80.74,light rain,-16.4833,-151.75,Oa Oa Lodge
415,Lorengau,PG,81.95,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
421,Vao,NC,75.88,overcast clouds,-22.6667,167.4833,Nataiwatch
430,Morondava,MG,77.95,broken clouds,-20.2833,44.2833,Hotel Sharon Menabe
435,San Carlos,VE,72.19,overcast clouds,9.6612,-68.5827,Hotel Villas del Norte
437,Mogadishu,SO,79.93,broken clouds,2.0371,45.3438,SYL Hotel
446,Reconquista,AR,72.88,clear sky,-29.15,-59.65,Hotel San Martin
450,Omboue,GA,74.08,moderate rain,-1.5746,9.2618,Georges Faustin Aurat
451,Shenzhen,CN,70.21,overcast clouds,22.5455,114.0683,Shenzhen International Elite Hotel
454,Bandiagara,ML,77.43,broken clouds,14.3501,-3.6104,Hôtel Auberge Kansaye
460,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
463,Mecca,SA,75.25,broken clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
468,Saint-Georges,GD,76.35,light rain,12.0564,-61.7485,Deyna's City Inn
470,Houston,US,71.98,overcast clouds,29.7633,-95.3633,Hotel ICON
471,Jacareacanga,BR,72.54,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
474,Sassandra,CI,73.74,overcast clouds,4.95,-6.0833,Hotel Le Pollet
476,Sao Mateus,BR,70.02,overcast clouds,-18.7161,-39.8589,Grande Hotel
477,Cartagena Del Chaira,CO,73.56,overcast clouds,1.3349,-74.8429,Los Corceles
484,Ca Mau,VN,80.98,overcast clouds,9.1769,105.15,Khách sạn Song Ngọc
486,Angoche,MZ,76.48,clear sky,-16.2325,39.9086,Hotel Quirimbas
488,Sampit,ID,81.54,overcast clouds,-2.5333,112.95,Hotel Sultan
491,Geraldton,AU,75.61,overcast clouds,-28.7667,114.6,Ocean Centre Hotel
492,Sao Joao Da Barra,BR,72.73,light rain,-21.6403,-41.0511,Pousada Mediterrâneo
494,Tomatlan,MX,73.31,few clouds,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
502,Sao Felix Do Xingu,BR,71.46,overcast clouds,-6.6447,-51.995,Hotel Terraço
504,Gizo,SB,83.48,light rain,-8.103,156.8419,Gizo Hotel
505,Quatre Cocos,MU,73.51,scattered clouds,-20.2078,57.7625,Horisun
535,Waingapu,ID,85.84,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
545,San Miguelito,PA,78.89,few clouds,9.0333,-79.5,Hostal Leticia
552,Kon Tum,VN,77.13,overcast clouds,14.35,108.0,Bich Hin
557,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Tropic Hotel
563,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Hotel Hero
565,Gold Coast,AU,79.25,light rain,-28.0,153.4333,Zenith
569,Diffa,NE,74.07,few clouds,13.3154,12.6113,UNHCR guest house
572,Marawi,PH,79.79,few clouds,7.9986,124.2928,Marawi Resort Hotel
586,Atambua,ID,84.81,scattered clouds,-9.1061,124.8925,Hotel Matahari
591,Bengkulu,ID,80.2,scattered clouds,-3.8004,102.2655,Dena Hotel
592,Kaohsiung,TW,78.75,haze,22.6163,120.3133,寒軒國際大飯店
602,Warrnambool,AU,77.22,broken clouds,-38.3833,142.4833,Central Court
604,Celestun,MX,77.49,clear sky,20.8667,-90.4,Hotel Flamingo Playa
612,Kyaukse,MM,77.34,clear sky,21.6,96.1333,San Palace Hotel
617,Banda Aceh,ID,79.54,overcast clouds,5.5577,95.3222,Hotel 61
619,Tabou,CI,75.97,overcast clouds,4.423,-7.3528,hôtel le rochet
622,Nossa Senhora Da Gloria,BR,70.68,light rain,-10.2183,-37.4203,Hotel Avelan
625,Novo Aripuana,BR,73.71,overcast clouds,-5.1206,-60.3797,Hotel Novo Aripuanã
631,Pak Phanang,TH,78.82,light rain,8.3511,100.202,Pak Phanang Hotel
641,Phangnga,TH,78.84,overcast clouds,8.4509,98.5298,Hotel
643,San Fernando,PH,82.13,overcast clouds,15.0286,120.6898,Pampanga Lodge and Restaurant
647,Mormugao,IN,77.9,overcast clouds,15.4,73.8,Hotel Rukhmini
652,Mandurah,AU,76.87,clear sky,-32.55,115.7,Forte Mandurah Quay Resort
654,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Marfil del Amazonas
656,Yenagoa,NG,76.23,few clouds,4.9247,6.2642,Peretimi Hotels Ltd.
661,Maiduguri,NG,73.98,scattered clouds,11.8464,13.1603,Nanne and Boi Suites
663,Samana,DO,72.32,scattered clouds,19.2056,-69.3369,Hotel Cotubanamá
672,Bahia Blanca,AR,78.3,clear sky,-38.7196,-62.2724,Hotel Austral Bahía
677,Bakel,SN,77.95,broken clouds,14.905,-12.4568,Sangacity
688,Baracoa,CU,75.96,scattered clouds,20.3467,-74.4958,Casa
699,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Forum
